[0.13501016 0.12577773 0.12031404]
[0.20577961 0.14728955 0.09800458]
         3511931 function calls (3446126 primitive calls) in 8.431 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      177    0.009    0.000    8.666    0.049 __init__.py:1(<module>)
        1    0.000    0.000    7.417    7.417 part1.py:8(show_pca_df)
        1    0.000    0.000    7.417    7.417 pyplot.py:568(show)
        2    0.001    0.000    3.818    1.909 backend_bases.py:3523(show)
  1680/12    0.012    0.000    3.172    0.264 <frozen importlib._bootstrap>:1349(_find_and_load)
  1638/12    0.010    0.000    3.172    0.264 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  1581/12    0.007    0.000    3.170    0.264 <frozen importlib._bootstrap>:911(_load_unlocked)
  1349/12    0.004    0.000    3.169    0.264 <frozen importlib._bootstrap_external>:989(exec_module)
  3837/23    0.026    0.000    3.167    0.138 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        2    0.000    0.000    2.986    1.493 _backend_tk.py:562(start_main_loop)
        2    0.000    0.000    2.986    1.493 __init__.py:1502(mainloop)
        2    2.486    1.243    2.985    1.492 {method 'mainloop' of '_tkinter.tkapp' objects}
   803/82    0.002    0.000    2.840    0.035 {built-in method builtins.__import__}
 1819/827    0.005    0.000    1.832    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        9    0.000    0.000    1.665    0.185 base.py:1(<module>)
        1    0.000    0.000    1.643    1.643 _chunking.py:1(<module>)
        1    0.000    0.000    1.643    1.643 _param_validation.py:1(<module>)
        2    0.000    0.000    1.500    0.750 _array_api.py:1(<module>)
        1    0.000    0.000    1.486    1.486 readers.py:349(read_csv)
        1    0.000    0.000    1.486    1.486 readers.py:258(_read)
        1    0.000    0.000    1.484    1.484 validation.py:1(<module>)
        1    0.000    0.000    1.482    1.482 readers.py:1931(read)
        1    1.440    1.440    1.479    1.479 c_parser_wrapper.py:203(read)
        1    0.000    0.000    1.209    1.209 fixes.py:1(<module>)
      625    0.002    0.000    0.748    0.001 _docscrape.py:579(__init__)
        1    0.001    0.001    0.724    0.724 _stats_py.py:1(<module>)
3092/2990    0.062    0.000    0.696    0.000 {built-in method builtins.__build_class__}
      474    0.006    0.000    0.665    0.001 _array_api.py:840(decorator)
      633    0.004    0.000    0.661    0.001 _docscrape.py:140(__init__)
        1    0.001    0.001    0.607    0.607 pyplot.py:1(<module>)
      633    0.017    0.000    0.508    0.001 _docscrape.py:388(_parse)
   114/86    0.002    0.000    0.507    0.006 __init__.py:1962(__call__)
        2    0.000    0.000    0.504    0.252 pyplot.py:871(figure)
        2    0.000    0.000    0.504    0.252 pyplot.py:548(new_figure_manager)
        6    0.223    0.037    0.462    0.077 __init__.py:859(callit)
     1349    0.013    0.000    0.433    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        2    0.000    0.000    0.392    0.196 backend_bases.py:3497(new_figure_manager)
        2    0.000    0.000    0.388    0.194 backend_bases.py:3506(new_figure_manager_given_figure)
        2    0.000    0.000    0.388    0.194 backend_bases.py:1774(new_manager)
        2    0.000    0.000    0.388    0.194 _backend_tk.py:528(create_with_canvas)
    58/57    0.000    0.000    0.384    0.007 __init__.py:73(import_module)
    58/57    0.000    0.000    0.384    0.007 <frozen importlib._bootstrap>:1375(_gcd_import)
32791/27656    0.014    0.000    0.381    0.000 {built-in method builtins.hasattr}
      106    0.004    0.000    0.358    0.003 artist.py:158(_update_set_signature_and_docstring)
      105    0.001    0.000    0.353    0.003 artist.py:125(__init_subclass__)
     1349    0.029    0.000    0.328    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.000    0.000    0.327    0.327 figure.py:1(<module>)
